number,character,quote
659,sh,"Then your wife's character would really be better known by Dolores
     than by you?"
660,mm,"I don’t know anything about medicine, of course,"
661,sh,"Mr. Holmes, I must beg you not to press that question. It is
     important that I should be able to assure him that his honoured name
     has been in no way dragged into the matter. His motives are, to the
     last degree, honourable and chivalrous, but he prefers to remain
     unknown. I need not say that your fees will be assured and that you
     will be given a perfectly free hand. Surely the actual name of your
     client is immaterial?"
662,sh,"I do not vary them, save when I remit them altogether."
663,mm,"You know, putting things in horses’ eyes, smashing Legation windows and attacking people. Throwing stones, at people, and it’s usually being done by somebody young, isn’t it? And they were the only young people, weren’t they?"
664,hp,"No, the blood escaped internally into the brain."
665,hp,It must have been about twenty minutes past twelve. I know that it was actually half-past twelve when I finally got to my cabin.
666,mm,I think the description of that might give us a valuable clue.
667,mm,"that it’s the curious conduct of the caretaker. Why did she behave in that very odd way? People do mind being turned out of their old homes. But it wasn’t her home. In fact, she used to complain and grumble while she was there. Yes, it certainly looks very fishy. What became of her, by the way?"
668,hp,And if during the night at one of the frontiers the Customs officials should require a piece of luggage to be opened?
669,sh,The finding of the pistol in her wardrobe.
670,mm,"I was extremely comfortable staying with you. Oh yes, I did enjoy it very much. Such a beautiful house. And all your things are so nice. You know, your china and glass and furniture. It’s such a pleasure to be in a home and not a hotel."
671,mm,"That’s the one you met abroad, in the West Indies, isn’t it? You showed me his photo in your album."
672,hp,Kenneth’s a fool—an utter fool where women are concerned! Do you remember the Martingdale case?
673,sh,"Is it really you? Can it indeed be that you are
     alive? Is it possible that you succeeded in climbing out of that
     awful abyss?"
674,sh,"When we returned to Mrs. Warren's rooms, the gloom of a London winter
     evening had thickened into one gray curtain, a dead monotone of
     colour, broken only by the sharp yellow squares of the windows and
     the blurred haloes of the gas-lamps. As we peered from the darkened
     sitting-room of the lodging-house, one more dim light glimmered high
     up through the obscurity."
675,sh,"He was cold, but not harsh. I dare say my severe illness prevented
     him from being that. He repeated that the matter was of the utmost
     importance, and added that no steps would be taken about my
     future--by which he means, of course, my dismissal--until my health
     was restored and I had an opportunity of repairing my misfortune."
676,sh,"lies, of course, in that untimely
     love affair which gave our impetuous professor the idea that he could
     only gain his wish by turning himself into a younger man. When one
     tries to rise above Nature one is liable to fall below it. The
     highest type of man may revert to the animal if he leaves the
     straight road of destiny."
677,hp,"But yes, Monsieur. Monsieur has not noticed? The train has stopped. We have run into a snowdrift. Heaven knows how long we shall be here. I remember once being snowed up for seven days."
678,sh,"Yes, Mr. Holmes, it is as you say, sir. He does smoke something
     terrible. All day and sometimes all night, sir. I've seen that room
     of a morning--well, sir, you'd have thought it was a London fog. Poor
     young Mr. Smith, he was a smoker also, but not as bad as the
     Professor. His health--well, I don't know that it's better nor worse
     for the smoking."
679,mm,"I could not claim a personal knowledge of this part of the country. I know something, however, of various things that have happened in this part of the world entirely because of what you have told me. If it had not been for my acquaintanceship with you and the things you have told me I could have been more at sea than I am.

“What are you yourself actually doing here? You do not know. Yet you were sent here. It was deliberately arranged by Rafiel that you should come here, that you should take this coach tour, that you and I should meet. There have been other places where we have stopped or through which we have passed, but special arrangements were made so that you should actually stay for a couple of nights here. You were put up with former friends of his who would not have refused any request he made. Was there a reason for that?"
680,mm,"You are quite right, my dear. Yes, I cannot help still believing in two lovers who wished to get married, who were ready to take each other on for better, for worse, for richer or poorer, in sickness and in health. She loved him and she would have taken him for better or for worse. As far as she had gone, she took him for worse. It brought about her death."
681,sh,"I
     have examined the ground very carefully for a hundred yards in each
     direction."
682,sh,"Up to a certain point he did well. He
     was always a man of iron nerve, and the story is still told in India
     how he crawled down a drain after a wounded man-eating tiger. There
     are some trees, Watson, which grow to a certain height and then
     suddenly develop some unsightly eccentricity. You will see it often
     in humans. I have a theory that the individual represents in his
     development the whole procession of his ancestors, and that such a
     sudden turn to good or evil stands for some strong influence which
     came into the line of his pedigree. The person becomes, as it were,
     the epitome of the history of his own family."
683,sh,"for it is natural that he should take a
     keen interest in the details. I am afraid, my dear Colonel, that you
     must regret the hour that you took in such a stormy petrel as I am."
684,mm,"Jason Rafiel? I know him by name, of course. I never knew him personally, or met him. He gave a large endowment once to an educational project in which I was interested. I was very grateful. As you say, he was a very wealthy man. I saw the notice of his death in the papers a few weeks ago. So he was an old friend of yours?"
685,mm,I’m an elderly pussy and I have very little strength in my arms or my legs. Very little strength anywhere. But I am in my own way an emissary of justice.
686,hp,"Well, I’ve taken the prints of every member of the household, every
one, mind you, from the old lady down to the kitchenmaid."
687,mm,"It will take a little getting used to, I expect,"
688,mm,"Yes. I had no idea then of his existence. But from then on I felt that the chief characters—the chief actors—in the drama, whichever way you like to put it, were not on the tour. They were not members of the coach party. I hesitated just for a short time, hesitated over some particular persons. I hesitated, considering Joanna Crawford and Emlyn Price."
689,sh,"Excellent. You carried the thing out very well. Did you observe
     where the bullet went?"
690,hp,"Quite sure. She knows him well by sight. He went past very quickly
and turned off by the path to the right, which is a short cut to the
terrace."
691,sh,"I am about to tell you, Mr. Holmes, all that actually occurred, for
     you already know so much that it is clearly to my interest that you
     should know all. I have already explained the relationship in which I
     stood to the Tregennis family. For the sake of the sister I was
     friendly with the brothers. There was a family quarrel about money
     which estranged this man Mortimer, but it was supposed to be made up,
     and I afterwards met him as I did the others. He was a sly, subtle,
     scheming man, and several things arose which gave me a suspicion of
     him, but I had no cause for any positive quarrel."
692,hp,"You know, Monsieur Poirot, it’s a nasty business—a nasty business…I don’t like it…."
693,mm,"Really, you know, Scheherazade, this is most refreshing. Our ingenuity is challenged. I’m not so sure you haven’t done it on purpose—to stimulate our curiosity. A few brisk rounds of ‘Twenty Questions’ is indicated, I think. Miss Marple, will you begin?"
694,hp,No. He’s got his rules—crazy rules—and abides by them. Fair warning. He makes a point of that. That’s where his boastfulness comes in. I wonder now—I’d almost bet the chap drinks White Horse whisky.
695,hp,Tell me more about the death of Alice Corrigan.
696,mm,"I could benefit certain charities in which I have an interest,"
697,hp,"I don’t see how you make that out,"
698,mm,"Actually to hospital? Oh, that’s a great relief! I am so very glad to hear it. He’ll be quite safe there. When you say ‘nothing to be done,’ you don’t mean that he won’t recover?"
699,mm,"Isn’t it extraordinary? What should she want with a suitcase in the wood at twelve o’clock at night?

“You see,"
700,hp,"It strikes me, M. Poirot, that you’ve been keeping quite a lot of things up your sleeve."
701,mm,"No, I think that the warnings and the blue flowers were, if I may use a military term,"
702,sh,"this is surely most unfair and ungenerous upon your
     part. I desired, as I have explained, to keep my visit to you a
     secret, lest my husband should think that I was intruding into his
     affairs. And yet you compromise me by coming here and so showing that
     there are business relations between us."
703,mm,Something about this atmosphere. We never got over it here. Never. Never since—since Verity died. It’s years but it doesn’t go away. A shadow’s here.
704,hp,Unless our murderer figured to himself that he had not accomplished his job properly and came back to make quite sure; but that is manifestly absurd! Anything else?
705,hp,"I’m not in the least anxious for your opinion, thank you,"
706,mm,"and there is no need to be profane about it. The hand of God is everywhere. The first thing I saw were the black spots—the marks of St. Peter’s thumb. That is the legend, you know. St. Peter’s thumb. And that brought things home to me. I needed faith, the ever true faith of St. Peter. I connected the two things together, faith—and fish."
707,hp,"Oh! I wouldn’t like to think so. He’s such a nice gentleman, Captain Marshall. He couldn’t do a thing like that—I’m sure he couldn’t."
708,hp,I’ve never known her anything but sweet to him. I suppose she was fond of him. He’s a dear—wrapped up in his own world—his digging and his theories. And he worshipped her and thought her perfection. That might have annoyed some women. It didn’t annoy her. In a sense he lived in a fool’s paradise—and yet it wasn’t a fool’s paradise because to him she was what he thought her. Though it’s hard to reconcile that with—
709,hp,Princess Dragomiroff has great personality and immense will power. But let us pass from that for the moment.
710,hp,I don’t believe one word of it all!
711,mm,"Yes, but if you make sure, that may be the last thing you do make sure of! We don’t want a third body. Yours."
712,mm,No. I think she was puzzled and unhappy about what happened and was coming to me to ask me why the marriage did not take place.
713,hp,"I next considered Miss Johnson. Was she capable of murder?

“I thought she was. She was a person of strong will and iron self-control. Such people are constantly repressing themselves—and one day the dam bursts! But if Miss Johnson had committed the crime it could only be for some reason connected with Dr. Leidner. If in any way she felt convinced that Mrs. Leidner was spoiling her husband’s life, then the deep unacknowledged jealousy far down in her would leap at the chance of a plausible motive and give itself full rein.

“Yes, Miss Johnson was distinctly a possibility.

“Then there were the three young men.

“First Carl Reiter. If, by any chance, one of the expedition staff was William Bosner, then Reiter was by far the most likely person. But if he was William Bosner, then he was certainly a most accomplished actor! If he were merely himself, had he any reason for murder?

“Regarded from Mrs. Leidner’s point of view, Carl Reiter was far too easy a victim for good sport. He was prepared to fall on his face and worship immediately. Mrs. Leidner despised undiscriminating adoration—and the doormat attitude nearly always brings out the worst side of a woman. In her treatment of Carl Reiter Mrs. Leidner displayed really deliberate cruelty. She inserted a gibe here—a prick there. She made the poor young man’s life a hell to him."
714,mm,The things you think of! Why all this? Why do you want me to do it?
715,hp,Many people may have made purchases from Mrs. Ascher after I did so.
716,mm,"that the attacker is more likely to have been a man than a woman. That boulder, if it was done with intent, was sent on its course very accurately. Accuracy is more a male quality than a female one. On the other hand there might easily have been someone on our coach, or possibly in the neighbourhood, who saw Miss Temple in the street, a former pupil of hers in past years. Someone whom she herself might not recognize after a period of time. But the girl or woman would have recognized her, because a Headmaster or Headmistress of over sixty is not unlike the same Headmaster or Headmistress at the age of fifty. She is recognizable. Some woman who recognized her former mistress and also knew that her mistress knew something damaging about her. Someone who might in some way prove a danger to her."
717,hp,"Hardly like to hide ’em in either of these,"
718,hp,"Have you not, perhaps, some patients to attend? I would not for the world detain you from your professional duties."
719,sh,"It was very nice and complimentary of you,"
720,hp,What do you think of him? You’ve seen more of him than I have.
721,mm,"My dear young lady, what could I do? There was no evidence. The majority of the eyewitnesses told the same story as Miss Barton. I had built up my own suspicions out of a fleeting expression which I might possibly have imagined. The only thing I could and did do was to see that the widest inquiries were made for the relations of Amy Durrant. The next time I was in England I even went and saw the landlady of her room, with the results I have told you."
722,hp,"I’m no end glad we came on this trip. It’s—well, it’s cleared things up. Amazing why it should—but there it is. Linnet’s got her nerve back. She say’s it’s because shes actually faced the business at last."
723,mm,It might give us another motive for the husband. Jealousy.
724,mm,"It did happen. The body was not found, I know, for some time afterwards. Verity just disappeared. She went away from home and was not seen again…."
725,hp,"Yes, we will pay a little visit to the good M. Hammond."
726,hp,"But already, mon cher, it was very clearly indicated."
727,hp,"It was M. Poirot he wanted to see,"
728,mm,"Yes. Friends argued with him, pointed out that he’d get no interest that way, but he held that that didn’t really matter. The bulk of your money, he said, should be ‘kept in a box under the bed or buried in the garden.’ Those were his words."
729,sh,"It took two, or possibly three,
     handfuls before the lodger came to the window. You beckoned him to
     come down. He dressed hurriedly and descended to his sitting-room.
     You entered by the window. There was an interview--a short
     one--during which you walked up and down the room. Then you passed
     out and closed the window, standing on the lawn outside smoking a
     cigar and watching what occurred. Finally, after the death of
     Tregennis, you withdrew as you had come. Now, Dr. Sterndale, how do
     you justify such conduct, and what were the motives for your actions?
     If you prevaricate or trifle with me, I give you my assurance that
     the matter will pass out of my hands forever."
730,sh,"I presume, as I see blood-stains upon it,
     that it is the one which was found in the dead man's grasp. Watson,
     this knife is surely in your line?"
731,sh,"Lattice-paned, lead framework, three separate windows, one swinging
     on hinge and large enough to admit a man."
732,sh,"There is
     nothing there, no sign that anyone has landed--but why should he
     leave any sign?"
733,sh,"that I make a mistake in
     explaining. 'Omne ignotum pro magnifico,' you know, and my poor
     little reputation, such as it is, will suffer shipwreck if I am so
     candid. Can you not find the advertisement, Mr. Wilson?"
734,hp,"Well, the door of it was not quite closed. And the fellow inside peered out in a furtive sort of way. Then he pulled the door to quickly. Of course, I know there’s nothing in that—but it just struck me as a bit odd. I mean, it’s quite usual to open a door and stick your head out if you want to see anything. But it was the furtive way he did it that caught my attention."
735,sh,"Exactly. And it looks out on an angle of the courtyard so as to be
     partly invisible. The man might have effected his entrance there,
     left traces as he passed through the bedroom, and, finally, finding
     the door open have escaped that way."
736,sh,"Oh, he has a European fame, has he? Well, we've learned all about
     him in America. We know he is at the bottom of fifty murders, and yet
     we have nothing positive we can take him on. I tracked him over from
     New York, and I've been close to him for a week in London, waiting
     some excuse to get my hand on his collar. Mr. Gregson and I ran him
     to ground in that big tenement house, and there's only one door, so
     he can't slip us. There's three folk come out since he went in, but
     I'll swear he wasn't one of them."
737,sh,"Yes, sir. He told me that a gipsy had done it for him when he was a
     lad."
738,hp,Aren’t you getting a good way from the essentials of this business? What I believe or don’t believe is surely not relevant to the plain fact of murder?
739,hp,That is what I heard. And then you went away?
740,hp,"That was in the Armstrong case, was it not? You were the chauffeur?"
741,hp,"The murderer comes to her cabin, gives her the money, and then—"
742,mm,"almost too good to be true. I should—well, I should be a little careful if I were you."
743,sh,"My old friend
     here will tell you that I have an impish habit of practical joking.
     Also that I can never resist a dramatic situation. I took the
     liberty--the very great liberty, I admit--of putting the stone into
     your pocket at the beginning of our interview."
744,sh,"Heavy steps and the clamor of loud voices were audible from below,
     and the hall door shut with a loud crash."
745,sh,"you can
     understand that I am not accustomed to doing such business in my own
     person. Yet the matter was so delicate that I could not confide it to
     an agent without putting myself in his power. I have come incognito
     from Prague for the purpose of consulting you."
746,sh,"Mortimer, James, M.R.C.S., 1882, Grimpen, Dartmoor, Devon.
     House-surgeon, from 1882 to 1884, at Charing Cross Hospital. Winner
     of the Jackson prize for Comparative Pathology, with essay entitled
     'Is Disease a Reversion?' Corresponding member of the Swedish
     Pathological Society. Author of 'Some Freaks of Atavism' (Lancet
     1882). 'Do We Progress?' (Journal of Psychology, March, 1883).
     Medical Officer for the parishes of Grimpen, Thorsley, and High
     Barrow."
747,hp,You think definitely that Blatt is the murderer?
748,mm,"it seems to me we are a pretty representative gathering. How would it be if we formed a Club? What is today? Tuesday? We will call it The Tuesday Night Club. It is to meet every week, and each member in turn has to propound a problem. Some mystery of which they have personal knowledge, and to which, of course, they know the answer. Let me see, how many are we? One, two, three, four, five. We ought really to be six."
749,hp,"Me, I suspect everybody till the last minute,"
750,hp,"I’m sorry, sir, but I can’t find anything missing. I’m sure there’s nothing gone from Captain Marshall’s room, or Miss Linda Marshall’s room, or Mr. and Mrs. Redfern’s room, and I’m pretty sure there’s nothing gone from Miss Darnley’s either. But I couldn’t say about Mrs. Marshall’s. As I say, she’s got such a lot."
751,mm,"Although one never can be quite certain, can one?"
752,sh,"You might start a paper on those lines. Call it the 'Police
     News of the Past.'"
753,mm,Did you come on this trip to see the houses or to see gardens?
754,mm,"is where my story ends. I cannot go on because I do not know what happened. I only know that I agreed to do as they asked, that I made the necessary arrangements; we settled a day, an hour, a time, a place. I think perhaps that I was to blame for agreeing to the secrecy."
755,hp,Did Linda say why she had bought candles?
756,mm,If she didn’t take the brooch—which I’m sure she didn’t—then she has no cause to be upset.
757,mm,"I mean, dear, that you’re actually holding the money in your hand this minute."
758,sh,"You
     may rely upon my doing all that I can."
759,mm,"Dear me, past twelve o’clock. I hope Raymond has gone to bed and not waited up."
760,sh,"Well, good-morning, Mr. Gibson. You have a good deal yet to learn."
761,mm,"are Mr. Broadribb’s secretary. If she’s out, find out what time she will be in."
762,hp,Every one concerned in them has something to hide.
763,hp,"No, no, indeed. Always it is unwise to parade one’s knowledge. Until the last minute I keep everything here,"
764,sh,"Your theory holds
     together. But if this is true, then the case is at an end. On the one
     hand, the traitor is dead. On the other, the plans of the
     Bruce-Partington submarine are presumably already on the Continent.
     What is there for us to do?"
765,mm,"Yes. Yes, that is probably true. It seemed to me, you see, that Verity would have said nothing to the people who could have stopped her. Clotilde and Anthea Bradbury-Scott, but because she had always been very devoted to Elizabeth Temple—and Elizabeth Temple had had great influence over her—it seems to me that she would have written and given her information of some kind."
766,mm,"The fall might have killed her. But he couldn’t be sure of that. And he seems the sort of man who would lay his plans carefully and leave nothing to chance. After all, Mrs. Edge could get him something suitable without her husband knowing. Otherwise, why would Harry bother with her? Yes, I think he had some powerful drug handy, that could be administered before you arrived. After all, if a woman is thrown from her horse and has serious injuries and dies without recovering consciousness, well—a doctor wouldn’t normally be suspicious, would he? He’d put it down to shock or something."
767,hp,"Oh, I believe you. Dr. Leidner did not leave the roof. That is an undisputed fact. But what I saw—and what Miss Johnson had seen—was that Dr. Leidner could murder his wife from the roof without leaving it."
768,sh,"No
     wonder you get results that are beyond us. But some of these days
     you'll go too far, and you'll find yourself and your friend in
     trouble."
769,hp,"You need not offer apologies, Messieurs. I understand a murder has taken place. Naturally, you must interview all the passengers. I shall be glad to give all the assistance in my power."
770,sh,"said
     my companion, gravely; and as he spoke there rushed into the room
     half a dozen of the dirtiest and most ragged street Arabs that ever I
     clapped eyes on."
771,mm,You’re assuming—aren’t you?—that Sir Ambrose had the kind of heart that digitalin would affect adversely? But there’s nothing to prove that that’s so. It might be just the other way about.
772,hp,"One can’t go back, can one? That—never. But I’d like to have gone on—a different way."
773,sh,"shouted Mr. Windibank, turning white to his lips and
     glancing about him like a rat in a trap."
774,sh,"I wished Mr. Acton to be present while I demonstrated this small
     matter to you,"
775,mm,That is why she was coming to me. She wanted to know certain facts.
776,sh,"I tiptoed down the path and stooped behind the low wall which
     surrounded the stunted orchard. Creeping in its shadow I reached a
     point whence I could look straight through the uncurtained window.

     There were only two men in the room, Sir Henry and Stapleton. They
     sat with their profiles towards me on either side of the round table.
     Both of them were smoking cigars, and coffee and wine were in front
     of them. Stapleton was talking with animation, but the baronet looked
     pale and distrait. Perhaps the thought of that lonely walk across the
     ill-omened moor was weighing heavily upon his mind.

     As I watched them Stapleton rose and left the room, while Sir Henry
     filled his glass again and leaned back in his chair, puffing at his
     cigar. I heard the creak of a door and the crisp sound of boots upon
     gravel. The steps passed along the path on the other side of the wall
     under which I crouched. Looking over, I saw the naturalist pause at
     the door of an out-house in the corner of the orchard. A key turned
     in a lock, and as he passed in there was a curious scuffling noise
     from within. He was only a minute or so inside, and then I heard the
     key turn once more and he passed me and re-entered the house. I saw
     him rejoin his guest, and I crept quietly back to where my companions
     were waiting to tell them what I had seen."
777,sh,"I did a good deal of shopping. Dr. Mortimer here went round with me.
     You see, if I am to be squire down there I must dress the part, and
     it may be that I have got a little careless in my ways out West.
     Among other things I bought these brown boots--gave six dollars for
     them--and had one stolen before ever I had them on my feet."
778,sh,"In accordance with the scheme which we had formed in order to test
     our theories"
779,hp,Did she say who it was she saw?
780,sh,"that the clips are lined with tiny
     bands of cork to soften the pressure upon the nose. One of these is
     discoloured and worn to some slight extent, but the other is new.
     Evidently one has fallen off and been replaced. I should judge that
     the older of them has not been there more than a few months. They
     exactly correspond, so I gather that the lady went back to the same
     establishment for the second."
781,hp,"No, it is not at all the same."
782,hp,I’m glad you both realize my feelings. I am not accustomed to anything of this kind.
783,hp,There is an alphabetical complex. But why an alphabetical complex? A madman in particular has always a very strong reason for the crimes he commits.
784,sh,"Don't you think that
     is an admirable sentiment?"
785,sh,"if we can only
     find the man to put them on."
786,hp,"I hardly think so. I suppose he is on board. The information was very precise. Oh, well, one job at a time. Let’s have a go at Pennington."
787,hp,"that reaction came pretty quickly. That’s a very coolheaded and astute young woman—perfectly capable of holding out on us and still further if she thinks it suits her book. What about Miss Marie Van Schuyler now? I don’t think we can eliminate her from the possible suspects. You know, she might have committed murder to get hold of those jewels. We can’t take the nurse’s word for it. She’s all out to do the best for the family."
788,mm,"I do rather agree with you. They don’t seem very real. I have wondered about them a good deal. Wondered, I mean, why they came on this tour and if they were really enjoying it. And what was their reason for coming."
789,hp,"What did you think of the inquest, Mr. Gardener?"
790,mm,"what a tiresome man you are, Mr. Rafiel!"
791,sh,"I think, Watson, we cannot do better. Do not allow yourself to
     indulge in false hopes, Mr. Phelps. The affair is a very tangled
     one."
792,hp,"Look here—you aren’t thinking…it wasn’t I who killed her! I’ll swear that! I’ve been in the most awful stew. To have chosen that night of all others…God, it’s been awful!"
793,hp,"But it will do her good to come. Persuade her, Mademoiselle."
794,sh,"I confess that I share Dr. Mortimer's belief that it will not be
     long before the missing boot is found."
795,hp,"Here comes Mrs. Redfern now, coming up from her bathe."
796,sh,"from the point of view of
     the man who called himself Stapleton was simple and direct, although
     to us, who had no means in the beginning of knowing the motives of
     his actions and could only learn part of the facts, it all appeared
     exceedingly complex. I have had the advantage of two conversations
     with Mrs. Stapleton, and the case has now been so entirely cleared up
     that I am not aware that there is anything which has remained a
     secret to us. You will find a few notes upon the matter under the
     heading B in my indexed list of cases."
797,sh,"May I ask, in the first place, why you came to me at all?"
798,hp,"Frankly—it’s hard to say! I didn’t know her well enough. She’d got charm—any amount of it. Brains, sympathy . . . What else? She hadn’t any of the ordinary unpleasant vices. She wasn’t sensual or lazy or even particularly vain. She was, I’ve always thought (but I’ve no proofs of it), a most accomplished liar. What I don’t know (and what I’d like to know) is whether she lied to herself or only to other people. I’m rather partial to liars myself. A woman who doesn’t lie is a woman without imagination and without sympathy. I don’t think she was really a manhunter—she just liked the sport of bringing them down ‘with my bow and arrow.’ If you get my daughter on the subject—"
799,sh,"Ah, yes, the box. The professor brought back a little wooden box
     from his travels. It was the one thing which suggested a Continental
     tour, for it was one of those quaint carved things which one
     associates with Germany. This he placed in his instrument cupboard.
     One day, in looking for a canula, I took up the box. To my surprise
     he was very angry, and reproved me in words which were quite savage
     for my curiosity. It was the first time such a thing had happened,
     and I was deeply hurt. I endeavoured to explain that it was a mere
     accident that I had touched the box, but all the evening I was
     conscious that he looked at me harshly and that the incident was
     rankling in his mind."
800,mm,You know what the doctor said. You weren’t to take too much exercise.
801,mm,"Oh well, I shall be glad to get to bed. Good night, Miss Bradbury-Scott."
802,hp,"The answer to that is yes. We are confronted here by an unknown personage. He is in the dark and seeks to remain in the dark. But in the very nature of things he cannot help throwing light upon himself. In one sense we know nothing about him—in another sense we know already a good deal. I see his figure dimly taking shape—a man who prints clearly and well—who buys good-quality paper—who is at great needs to express his personality. I see him as a child possibly ignored and passed over—I see him growing up with an inward sense of inferiority—warring with a sense of injustice…I see that inner urge—to assert himself—to focus attention on himself ever becoming stronger, and events, circumstances—crushing it down—heaping, perhaps, more humiliations on him. And inwardly the match is set to the powder train…."
803,hp,The cool way she answered you this morning about these same letters!
804,sh,"he remarked,
     pointing to the toes. Then he laid upon the table a long, deadly,
     sheathed knife. Finally he unravelled a bundle of clothing,
     comprising a complete set of underclothes, socks, a gray tweed suit,
     and a short yellow overcoat."
805,mm,"I’d like to know something about the cook,"
806,mm,"If Miss Marple says she had no pistol with her, you can take it for granted that it is so,"
807,hp,"Those blows—the ones delivered with great force penetrating the muscle—never, never could anyone with so frail a physique inflict them."
808,sh,"Perhaps I should have said 'replaced it there,'"
809,sh,"As
     for the article I wrote it myself."
810,hp,"I doubt if you’d know the truth if you heard it,"
811,hp,"Biggest surprise of my life. The thing I’ve never got over, though, is the way you got round me about that funeral business. Absolutely unorthodox, the whole thing. Fantastic!"
812,sh,"The matches have, of course, been
     used to light cigarettes. That is obvious from the shortness of the
     burnt end. Half the match is consumed in lighting a pipe or cigar.
     But, dear me! this cigarette stub is certainly remarkable. The
     gentleman was bearded and moustached, you say?"
813,hp,Did you meet anyone on your way here?
814,sh,"I am sorry to say that we have made very little progress,"
815,hp,All along—ever since I arrived here—I have been conscious—very conscious—of the forces of evil close at hand.
816,mm,I talked to Sister Barker on the telephone.
817,mm,I just wondered if I could ever be ruthless.
818,hp,"So it lay there—between Simon Doyle and Dr. Bessner. But what reason has Bessner to kill Linnet Doyle? None, so far as I know. Simon Doyle, then? But that was impossible! There were plenty of witnesses who could swear that Doyle never left the saloon that evening until the quarrel broke out. After that he was wounded and it would then have been physically impossible for him to have done so. Had I good evidence on both those points? Yes, I had the evidence of Mademoiselle Robson, of Jim Fanthorp, and of Jacqueline de Bellefort as to the first, and I had the skilled testimony of Dr. Bessner and of Mademoiselle Bowers as to the other. No doubt was possible.

“So Dr. Bessner must be the guilty one. In favour of this theory there was the fact that the maid had been stabbed with a surgical knife. On the other hand Bessner had deliberately called attention to this fact.

“And then, my friends, a second perfectly indisputable fact became apparent to me. Louise Bourget’s hint could not have been intended for Dr. Bessner, because she could perfectly well have spoken to him in private at any time she liked. There was one person, and one person only, who corresponded to her necessity—Simon Doyle! Simon Doyle was wounded, was constantly attended by a doctor, was in that doctor’s cabin. It was to him therefore that she risked saying those ambiguous words, in case she might not get another chance. And I remember how she had gone on, turning to him: ‘Monsieur, I implore you—you see how it is? What can I say?’ And this answer: ‘My good girl, don’t be a fool. Nobody thinks you saw or heard anything. You’ll be quite all right. I’ll look after you. Nobody’s accusing you of anything.’ That was the assurance she wanted, and she got it!"
819,sh,"CHAPTER XII
          Death on the Moor


     For a moment or two I sat breathless, hardly able to believe my ears.
     Then my senses and my voice came back to me, while a crushing weight
     of responsibility seemed in an instant to be lifted from my soul.
     That cold, incisive, ironical voice could belong to but one man in
     all the world."
820,mm,"I’m not sure, but I think Elizabeth Temple did know or was beginning to know what happened. A frightening word, she said. Love. I thought when she spoke that what she meant was that because of a love affair Verity committed suicide. Because she found out something about Michael, or because something about Michael suddenly upset her and revolted her. But it couldn’t have been suicide."
821,sh,"He is looking
     up at the numbers of the houses."
822,hp,First millennium. A lady of some consequence perhaps. Skull looks rather odd—I must get Mercado to look at it. It suggests death by foul play.
823,hp,"My God, I’m sick of answering questions. I’ve answered the police questions. I don’t feel called upon to answer yours."
824,mm,"meeting again so soon—such a small world, isn’t it?"
825,mm,"that I’ve got wasps on the brain. Poor things, destroyed in their thousands—and usually on such a beautiful summer’s day. But I remember thinking, when I saw the gardener shaking up the cyanide of potassium in a bottle with water, how like smelling salts it looked. And if it were put in a smelling salt bottle and substituted for the real one—well, the poor lady was in the habit of using her smelling salts. Indeed you said they were found by her hand. Then, of course, while Mr. Pritchard went to telephone to the doctor, the nurse would change it for the real bottle, and she’d just turn on the gas a little bit to mask any smell of almonds and in case anyone felt queer, and I always have heard that cyanide leaves no trace if you wait long enough. But, of course I may be wrong, and it may have been something entirely different in the bottle; but that doesn’t really matter, does it?"
826,sh,"I've had a plain-clothes man waiting at the station all the week.
     Wherever the High Gable folk go he will keep them in sight. But he
     must have been hard put to it when Miss Burnet broke away. However,
     your man picked her up, and it all ends well. We can't arrest without
     her evidence, that is clear, so the sooner we get a statement the
     better."
827,sh,"I think that your decision is a wise
     one. I have ample evidence that you are being dogged in London, and
     amid the millions of this great city it is difficult to discover who
     these people are or what their object can be. If their intentions are
     evil they might do you a mischief, and we should be powerless to
     prevent it. You did not know, Dr. Mortimer, that you were followed
     this morning from my house?"
828,sh,"Now would you mind going down and
     fetching that poor little devil of a terrier which has been bad so
     long, and which the landlady wanted you to put out of its pain
     yesterday."
829,mm,"we can’t help—well, thinking about that sort of thing. I mean, there must be some explanation. If the police seem sure it wasn’t an accident, well then it must have been done by somebody and—well, I mean, Miss Temple was a stranger to this place here. It doesn’t seem as if anyone could have done it—anyone local I mean. So it really comes back to—well, I mean, to all of us who were in the coach, doesn’t it?"
830,sh,"The Inspector here has done all that could possibly be
     suggested, but I wish to leave no stone unturned in trying to avenge
     poor Straker and in recovering my horse."
831,mm,"and I am not doing anything. Digging, I mean, or weeding. I just—well, I just put one foot in front of the other and wonder about things."
832,sh,"It was not the wife; it was the children,"
833,hp,And it really wasn’t true! We were a thoroughly happy family here.
834,mm,"Even if you brought it me, I should not drink it."
835,hp,"You take the holiday; that is it, yes?"
836,sh,"It must be very familiar to you. Have you not
     tethered a young kid under a tree, lain above it with your rifle, and
     waited for the bait to bring up your tiger? This empty house is my
     tree and you are my tiger. You have possibly had other guns in
     reserve in case there should be several tigers, or in the unlikely
     supposition of your own aim failing you. These,"
837,mm,"Not feeling bad, are you? Wanting to write to a clergyman and all that?"
838,mm,"but after all, that is a very sound way of arriving at the truth. It’s really what people call intuition and make such a fuss about. Intuition is like reading a word without having to spell it out. A child can’t do that because it has had so little experience. But a grown-up person knows the word because they’ve seen it often before. You catch my meaning, Vicar?"
